Frontier,SolutionIndex,Fire Hazard Increase,Northern Spotted Owl Habitat (ha),Peak Sediment Delivery (t)
Ensemble_rcp85,103,13877.021431068973,2471.0676674046053,73.52002725007335
Ensemble_rcp85,104,13871.671609032353,2404.9532702691813,60.26569726724337
Ensemble_rcp85,105,13871.062029663328,2432.5105553329718,64.87611078824537
Ensemble_rcp85,106,13847.254985728268,2452.9204142051203,73.52002725007335
Ensemble_rcp85,107,13871.672396237196,2406.1251085193517,60.26569726724337
Ensemble_rcp85,108,13871.930839538183,2407.687813679041,60.26569726724337
Ensemble_rcp85,109,13872.720603900338,2439.4694741179824,65.07448784651336
Ensemble_rcp85,110,13872.53207800844,2440.641312368152,65.07448784651685
Ensemble_rcp85,111,13873.116885302325,2442.204017527842,65.07448784651336
Ensemble_rcp85,112,13874.907276543414,2426.9675972283812,63.83648316982236
Ensemble_rcp85,113,13874.559917124281,2451.409303506162,65.66769499471337
Ensemble_rcp85,114,13876.075289132768,2426.967597228382,61.10860761077237
Ensemble_rcp85,115,13875.612314448917,2429.702140638241,64.22195813468136
Ensemble_rcp85,116,13849.032122306577,2460.3994021403423,73.52002725007335
Ensemble_rcp85,117,13875.189183458135,2428.139435478552,61.49408257563137
Ensemble_rcp85,118,13875.657284288965,2429.702140638242,61.49408257563137
Ensemble_rcp85,119,13875.62149342143,2460.3994021403423,65.66769499471337
Ensemble_rcp85,120,15176.191235365253,2442.767740324722,0.06324888762417
Ensemble_rcp85,121,13876.797868753278,2428.139435478552,60.26569726724337
Ensemble_rcp85,122,13876.77220446144,2443.5296124287925,64.87611078824537
Ensemble_rcp85,123,13877.66622991772,2461.724997041291,65.66769499471337
Ensemble_rcp85,124,13878.49311774743,2445.5761550194525,64.87611078824537
Ensemble_rcp85,125,13841.2916105,2443.5296124287916,72.72844304360535
Ensemble_rcp85,126,13882.262538464258,2440.6413123681523,60.26569726724337
Ensemble_rcp85,127,13865.471719750598,2473.4434143832445,82.64902045219137
Ensemble_rcp85,128,13872.887012218709,2472.178410058725,81.85743624572336
Ensemble_rcp85,129,15251.005502417644,2477.0718830591127,0.06324888762417
Ensemble_rcp85,130,13882.557971863527,2442.204017527842,62.99357282629336
Ensemble_rcp85,131,13884.09899299978,2472.3932623055553,73.52002725007335
Ensemble_rcp85,132,13881.55620329299,2469.8026630800855,72.72844304360535
Ensemble_rcp85,133,13878.640830306997,2473.4434143832455,81.85743624572336
Ensemble_rcp85,134,13876.881193883706,2474.4772658932397,82.64902045219137
Ensemble_rcp85,135,13922.139410641135,2439.4694741179824,59.474113060775366
Ensemble_rcp85,136,13902.472712617773,2464.407132230801,64.87611078824537
Ensemble_rcp85,137,15215.526194889044,2481.0117233014257,0.12913335790607
Ensemble_rcp85,138,13906.859568503003,2465.42229109472,64.87611078824537
Ensemble_rcp85,139,13908.551039552636,2450.18587079526,60.26569726724337
Ensemble_rcp85,140,13908.663921566076,2451.35770904543,60.26569726724337
Ensemble_rcp85,141,13910.057595832288,2452.9204142051203,61.10860761077237
Ensemble_rcp85,142,13910.969757764136,2442.767740324722,59.51433680435866
Ensemble_rcp85,143,13896.696592256174,2451.905255341201,64.87611078824537
Ensemble_rcp85,144,13898.81559951955,2452.9204142051203,64.87611078824537
Ensemble_rcp85,145,13896.878577575912,2470.486724933233,67.98404408291135
Ensemble_rcp85,146,13897.886641961863,2469.802663080086,65.66769499471337
Ensemble_rcp85,147,13904.82854567013,2471.1282579810354,65.66769499471337
Ensemble_rcp85,148,15151.16965559314,2473.077324158702,0.12913335790607
Ensemble_rcp85,149,13899.408900141116,2454.842955383141,64.87611078824537
Ensemble_rcp85,150,13901.868727428022,2462.844427071111,64.87611078824537
Ensemble_rcp85,151,15099.899136902959,2440.0331969148615,0.12913335790607003
Ensemble_rcp85,152,15408.508595758842,2465.394000189541,0.0001568517036599909
