Stand ID,Mgmt ID,2025,2045
3_145522_MHD,NONE,2,2
3_149512_MHD,E45,2,2
3_149512_MHD,E85,2,2
3_149512_MHD,NONE,2,2
3_149639_MHD,E45,2,2
3_149639_MHD,E85,0,3
3_149639_MHD,NONE,2,3
3_150017_MHD,E45,2,2
3_150017_MHD,E85,2,2
3_150017_MHD,NONE,2,2
4_2642_MHD,E45,0,3
4_2642_MHD,E85,0,2
4_2642_MHD,NONE,3,2
4_2928_MHD,E45,2,2
4_2928_MHD,E85,2,2
4_2928_MHD,NONE,2,2
4_8601_MHD,E45,0,2
4_8601_MHD,E85,0,2
4_8601_MHD,NONE,3,2
4_8707_MHD,E45,0,2
4_8707_MHD,E85,0,2
4_8707_MHD,NONE,2,2
4_8734_MHD,E45,0,2
4_8734_MHD,E85,0,2
4_8734_MHD,NONE,2,2
4_8797_MHD,E45,0,2
4_8797_MHD,E85,0,2
4_8797_MHD,NONE,2,2
4_8798_MHD,E45,0,2
4_8798_MHD,E85,0,2
4_8798_MHD,NONE,3,3
4_8865_MHD,E45,0,3
4_8865_MHD,E85,0,3
4_8865_MHD,NONE,3,3
4_8994_MHD,E45,0,2
4_8994_MHD,E85,0,3
4_8994_MHD,NONE,2,3
4_9482_MHD,E45,0,2
4_9482_MHD,E85,0,2
4_9482_MHD,NONE,2,2
4_13359_MHD,E45,3,3
4_13359_MHD,E85,0,2
4_13359_MHD,NONE,3,2
4_13690_MHD,E45,0,2
4_13690_MHD,E85,0,3
4_13690_MHD,NONE,3,2
4_13912_MHD,E45,0,2
4_13912_MHD,E85,0,0
4_13912_MHD,NONE,3,2
4_13970_MHD,E45,0,2
4_13970_MHD,E85,0,2
4_13970_MHD,NONE,3,2
4_14345_MHD,E45,2,2
4_14345_MHD,E85,0,2
4_14345_MHD,NONE,3,2
4_14346_MHD,E45,0,2
4_14346_MHD,E85,0,2
4_14346_MHD,NONE,2,2
4_14525_MHD,E45,2,2
4_14525_MHD,E85,2,2
4_14525_MHD,NONE,0,0
4_14600_MHD,E45,0,3
4_14600_MHD,E85,0,3
4_14600_MHD,NONE,3,3
4_15235_MHD,E45,2,2
4_15235_MHD,E85,2,2
4_15235_MHD,NONE,2,2
4_20790_MHD,E45,0,3
4_20790_MHD,E85,0,2
4_20790_MHD,NONE,3,2
4_20840_MHD,E45,0,3
4_20840_MHD,E85,0,3
4_20840_MHD,NONE,3,2
4_20888_MHD,E45,2,2
4_20888_MHD,E85,2,2
4_20888_MHD,NONE,2,2
4_21148_MHD,E45,0,2
4_21148_MHD,E85,0,2
4_21148_MHD,NONE,3,2
4_21437_MHD,E45,2,2
4_21437_MHD,E85,2,2
4_21437_MHD,NONE,2,2
4_23651_MHD,E45,2,2
4_23651_MHD,E85,2,2
4_23651_MHD,NONE,2,2
4_24218_MHD,E45,0,2
4_24218_MHD,E85,0,2
4_24218_MHD,NONE,3,2
4_24236_MHD,E45,0,2
4_24236_MHD,E85,0,2
4_24236_MHD,NONE,3,2
4_24237_MHD,E45,0,2
4_24237_MHD,E85,0,2
4_24237_MHD,NONE,2,2
4_24437_MHD,E45,2,2
4_24437_MHD,E85,2,2
4_24437_MHD,NONE,0,2
4_24439_MHD,E45,2,3
4_24439_MHD,E85,2,2
4_24439_MHD,NONE,3,2
4_24463_MHD,E45,0,2
4_24463_MHD,E85,0,2
