Stand ID,Mgmt ID,TreatmentSchedule,2015,2055
2_21112_MCD,E45,both,TRUE,FALSE
2_21112_MCD,E85,both,TRUE,FALSE
2_21112_MCD,NONE,both,TRUE,FALSE
2_22171_MCD,E45,both,FALSE,FALSE
2_22171_MCD,E85,both,FALSE,FALSE
2_22171_MCD,NONE,both,FALSE,FALSE
2_23446_MCD,E45,both,FALSE,FALSE
2_23446_MCD,E85,both,FALSE,FALSE
2_23446_MCD,NONE,both,TRUE,FALSE
2_23577_MCD,E45,both,TRUE,FALSE
2_23577_MCD,E85,both,TRUE,FALSE
2_23577_MCD,NONE,both,TRUE,FALSE
2_23604_MCD,E45,both,FALSE,FALSE
2_23604_MCD,E85,both,FALSE,FALSE
2_23604_MCD,NONE,both,FALSE,FALSE
2_23697_MCD,E45,both,FALSE,FALSE
2_23697_MCD,E85,both,FALSE,FALSE
2_23697_MCD,NONE,both,FALSE,FALSE
2_24119_MCD,E45,both,TRUE,FALSE
2_24119_MCD,E85,both,TRUE,FALSE
2_24119_MCD,NONE,both,TRUE,TRUE
2_24402_MCD,E45,both,TRUE,FALSE
2_24402_MCD,E85,both,TRUE,FALSE
2_24402_MCD,NONE,both,TRUE,TRUE
2_24422_MCD,E45,both,TRUE,FALSE
2_24422_MCD,E85,both,TRUE,FALSE
2_24422_MCD,NONE,both,TRUE,TRUE
2_24442_MCD,E45,both,FALSE,FALSE
2_24442_MCD,E85,both,FALSE,FALSE
2_24442_MCD,NONE,both,FALSE,FALSE
2_24518_MCD,E45,both,FALSE,FALSE
2_24518_MCD,E85,both,FALSE,FALSE
2_24518_MCD,NONE,both,FALSE,FALSE
2_24545_MCD,E45,both,FALSE,FALSE
2_24545_MCD,E85,both,FALSE,FALSE
2_24545_MCD,NONE,both,TRUE,FALSE
2_24619_MCD,E45,both,TRUE,FALSE
2_24619_MCD,E85,both,TRUE,FALSE
2_24619_MCD,NONE,both,TRUE,FALSE
2_24845_MCD,E45,both,FALSE,FALSE
2_24845_MCD,E85,both,FALSE,FALSE
2_24845_MCD,NONE,both,FALSE,FALSE
2_25021_MCD,E45,both,FALSE,FALSE
2_25021_MCD,E85,both,FALSE,FALSE
2_25021_MCD,NONE,both,FALSE,FALSE
2_25054_MCD,E45,both,FALSE,FALSE
2_25054_MCD,E85,both,FALSE,FALSE
2_25054_MCD,NONE,both,FALSE,FALSE
2_25090_MCD,E45,both,TRUE,FALSE
2_25090_MCD,E85,both,TRUE,FALSE
