Stand_GNN_PAG,ClimateScenario,Year,TEMFM1,TreatmentAssignment
290_145213_MCW,NONE,2095,12,trtInBoth
19_131381_MHD,NONE,2095,13,trtInBoth
158_9057_MCW,NONE,2095,13,trtInBoth
58_24219_MCW,NONE,2095,5,trtInBoth
136_23544_MCW,NONE,2095,9,trtInBoth
122_136333_MHD,NONE,2095,13,trtInBoth
141_24440_MHD,NONE,2095,9,trtInBoth
61_137471_LPD,NONE,2095,5,trtInBoth
118_25120_MHD,NONE,2095,13,trtInBoth
144_8663_MCD,NONE,2095,5,trtInBoth
10_93088_MHD,NONE,2095,9,trtInBoth
139_14452_MHD,NONE,2095,13,trtInBoth
102_133281_MCW,NONE,2095,9,trtInBoth
91_13476_MHD,NONE,2095,9,trtInBoth
95_9157_MCD,NONE,2095,5,trtInBoth
89_141226_MCD,NONE,2095,13,trtInBoth
166_133286_MCD,NONE,2095,5,trtInBoth
11_9024_MCW,NONE,2095,13,trtInBoth
101_8048_MCW,NONE,2095,5,trtInBoth
184_137471_MHD,NONE,2095,13,trtInBoth
236_94201_LPD,NONE,2095,5,trtInBoth
36_84334_LPD,NONE,2095,5,trtInBoth
11_25336_MCW,NONE,2095,9,trtInBoth
165_25306_MCD,NONE,2095,8,trtInBoth
116_137526_MHD,NONE,2095,9,trtInBoth
74_137000_MHD,NONE,2095,13,trtInBoth
2_23577_MCD,NONE,2095,13,trtInBoth
25_25088_MHD,NONE,2095,9,trtInBoth
136_12194_MCW,NONE,2095,5,trtInBoth
44_137472_MCD,NONE,2095,9,trtInBoth
156_78787_MHD,NONE,2095,9,trtInBoth
69_24403_MCW,NONE,2095,9,trtInBoth
229_9057_MCD,NONE,2095,13,trtInBoth
153_23651_MHD,NONE,2095,12,trtInBoth
22_14345_MHD,NONE,2095,13,trtInBoth
22_14346_MCW,NONE,2095,9,trtInBoth
46_20557_MCD,NONE,2095,5,trtInBoth
128_137444_MHD,NONE,2095,9,trtInBoth
4_84053_MHD,NONE,2095,13,trtInBoth
44_14234_MCD,NONE,2095,9,trtInBoth
149_24202_MCW,NONE,2095,13,trtInBoth
80_24981_MHD,NONE,2095,13,trtInBoth
184_141226_MHD,NONE,2095,13,trtInBoth
295_13651_MCD,NONE,2095,9,trtInBoth
275_105189_MCD,NONE,2095,12,trtInBoth
286_2331_MHD,NONE,2095,13,trtInBoth
121_20806_MCW,NONE,2095,8,trtInBoth
224_14346_MHD,NONE,2095,9,trtInBoth
261_9482_MHD,NONE,2095,9,trtInBoth
230_14451_MCW,NONE,2095,13,trtInBoth
230_14452_MCD,NONE,2095,12,trtInBoth
22_20951_MHD,NONE,2095,13,trtInBoth
229_21178_MCD,NONE,2095,13,trtInBoth
12_21112_MCW,NONE,2095,12,trtInBoth
286_14528_MCW,NONE,2095,13,trtInBoth
158_14451_MCW,NONE,2095,13,trtInBoth
103_20674_MCW,NONE,2095,12,trtInBoth
203_133913_MCW,NONE,2095,9,trtInBoth
177_9024_MCW,NONE,2095,13,trtInBoth
9_29454_MCD,NONE,2095,13,trtInBoth
30_9057_MHD,NONE,2095,13,trtInBoth
39_2931_MCW,NONE,2095,5,trtInBoth
301_14292_MCD,NONE,2095,9,trtInBoth
23_14525_MHD,NONE,2095,5,trtInBoth
38_24240_LPD,NONE,2095,5,trtInBoth
108_84053_MHD,NONE,2095,13,trtInBoth
4_131381_MHD,NONE,2095,13,trtInBoth
61_80679_MHD,NONE,2095,13,trtInBoth
256_84328_MHD,NONE,2095,5,trtInBoth
51_9024_MCW,NONE,2095,13,trtInBoth
93_25253_MCD,NONE,2095,13,trtInBoth
46_137417_MCD,NONE,2095,9,trtInBoth
39_8959_MCW,NONE,2095,12,trtInBoth
12_25053_MCW,NONE,2095,13,trtInBoth
302_130631_MCW,NONE,2095,13,trtInBoth
112_84291_MCD,NONE,2095,9,trtInBoth
2_29474_MCD,NONE,2095,9,trtInBoth
198_13091_MCW,NONE,2095,9,trtInBoth
224_137417_MHD,NONE,2095,9,trtInBoth
197_137506_MCD,NONE,2095,5,trtInBoth
104_84334_MCW,NONE,2095,13,trtInBoth
164_13302_MHD,NONE,2095,9,trtInBoth
69_85910_MCW,NONE,2095,9,trtInBoth
46_141180_MCD,NONE,2095,5,trtInBoth
101_78642_MCW,NONE,2095,12,trtInBoth
158_21177_MCW,NONE,2095,13,trtInBoth
61_145381_MHD,NONE,2095,13,trtInBoth
47_24403_MCW,NONE,2095,9,trtInBoth
180_133913_MHD,NONE,2095,5,trtInBoth
227_24202_MCW,NONE,2095,13,trtInBoth
20_13970_MHD,NONE,2095,9,trtInBoth
179_85910_MCW,NONE,2095,9,trtInBoth
217_24617_MCD,NONE,2095,9,trtInBoth
123_2946_MHD,NONE,2095,5,trtInBoth
17_84053_MHD,NONE,2095,13,trtInBoth
287_93760_MHD,NONE,2095,12,trtInBoth
49_141180_MCW,NONE,2095,9,trtInBoth
265_137213_MHD,NONE,2095,9,trtInBoth
14_149512_MCW,NONE,2095,9,trtInBoth
53_20740_MCD,NONE,2095,13,trtInBoth
70_13239_MCD,NONE,2095,5,trtInBoth
50_14528_MCW,NONE,2095,13,trtInBoth
284_14451_MCW,NONE,2095,13,trtInBoth
284_14452_MCW,NONE,2095,12,trtInBoth
164_24237_MHD,NONE,2095,9,trtInBoth
102_14528_MCW,NONE,2095,13,trtInBoth
37_25090_MCW,NONE,2095,13,trtInBoth
212_81141_MCW,NONE,2095,9,trtInBoth
102_14291_MCW,NONE,2095,9,trtInBoth
16_8959_MCD,NONE,2095,12,trtInBoth
295_8685_MCD,NONE,2095,9,trtInBoth
20_24463_MHD,NONE,2095,9,trtInBoth
49_24203_MCW,NONE,2095,13,trtInBoth
133_14346_MCD,NONE,2095,9,trtInBoth
