stand,climateScenario,none,first,second,both
134,Ensemble_rcp45,True,True,True,True
134,Ensemble_rcp85,True,True,True,True
135,NONE,True,True,True,True
135,Ensemble_rcp45,True,True,True,True
135,Ensemble_rcp85,True,True,True,True
136,NONE,True,True,True,True
136,Ensemble_rcp45,True,True,True,True
136,Ensemble_rcp85,True,True,True,True
137,NONE,True,True,True,True
137,Ensemble_rcp45,True,True,True,True
137,Ensemble_rcp85,True,True,True,True
138,NONE,False,False,False,False
138,Ensemble_rcp45,False,False,False,False
138,Ensemble_rcp85,False,False,False,False
139,NONE,True,True,True,True
139,Ensemble_rcp45,True,True,True,True
139,Ensemble_rcp85,True,True,True,True
140,NONE,False,False,False,False
140,Ensemble_rcp45,False,False,False,False
140,Ensemble_rcp85,False,False,False,False
141,NONE,False,False,False,False
141,Ensemble_rcp45,False,False,False,False
141,Ensemble_rcp85,False,False,False,False
142,NONE,True,True,True,True
142,Ensemble_rcp45,True,True,True,True
142,Ensemble_rcp85,False,True,False,True
143,NONE,False,False,False,False
143,Ensemble_rcp45,False,False,False,False
143,Ensemble_rcp85,False,False,False,False
144,NONE,True,True,True,True
144,Ensemble_rcp45,True,True,True,True
144,Ensemble_rcp85,True,True,True,True
145,NONE,False,False,False,False
145,Ensemble_rcp45,False,False,False,False
145,Ensemble_rcp85,False,False,False,False
146,NONE,False,False,False,False
146,Ensemble_rcp45,False,False,False,False
146,Ensemble_rcp85,False,False,False,False
147,NONE,True,True,True,True
147,Ensemble_rcp45,True,True,True,True
147,Ensemble_rcp85,True,True,True,True
148,NONE,False,False,False,False
148,Ensemble_rcp45,False,False,False,False
148,Ensemble_rcp85,False,False,False,False
149,NONE,True,True,True,True
149,Ensemble_rcp45,True,True,True,True
149,Ensemble_rcp85,True,True,True,True
150,NONE,True,True,True,True
150,Ensemble_rcp45,True,True,True,True
150,Ensemble_rcp85,True,True,True,True
151,NONE,True,True,True,True
151,Ensemble_rcp45,True,True,True,True
151,Ensemble_rcp85,True,True,True,True
152,NONE,False,False,False,False
152,Ensemble_rcp45,False,False,False,False
152,Ensemble_rcp85,False,False,False,False
153,NONE,True,True,True,True
153,Ensemble_rcp45,True,True,True,True
153,Ensemble_rcp85,True,True,True,True
154,NONE,False,False,False,False
154,Ensemble_rcp45,False,False,False,False
154,Ensemble_rcp85,False,False,False,False
155,NONE,False,False,False,False
155,Ensemble_rcp45,False,False,False,False
155,Ensemble_rcp85,False,False,False,False
156,NONE,False,False,False,False
156,Ensemble_rcp45,False,False,False,False
156,Ensemble_rcp85,False,False,False,False
157,NONE,False,False,False,False
157,Ensemble_rcp45,False,False,False,False
157,Ensemble_rcp85,False,False,False,False
158,NONE,False,False,False,False
158,Ensemble_rcp45,False,False,False,False
158,Ensemble_rcp85,False,False,False,False
159,NONE,False,False,False,False
159,Ensemble_rcp45,False,False,False,False
159,Ensemble_rcp85,False,False,False,False
160,NONE,False,False,False,False
160,Ensemble_rcp45,False,False,False,False
160,Ensemble_rcp85,False,False,False,False
161,NONE,False,False,False,False
161,Ensemble_rcp45,False,False,False,False
161,Ensemble_rcp85,False,False,False,False
162,NONE,True,True,True,True
162,Ensemble_rcp45,True,True,True,True
162,Ensemble_rcp85,True,True,True,True
163,NONE,True,True,True,True
163,Ensemble_rcp45,True,True,True,True
163,Ensemble_rcp85,True,True,True,True
164,NONE,False,False,False,False
164,Ensemble_rcp45,False,False,False,False
164,Ensemble_rcp85,False,False,False,False
165,NONE,True,False,True,False
165,Ensemble_rcp45,True,False,True,False
165,Ensemble_rcp85,True,False,True,False
166,NONE,True,False,True,False
166,Ensemble_rcp45,True,False,True,False
166,Ensemble_rcp85,True,False,True,False
167,NONE,False,False,False,False
167,Ensemble_rcp45,False,False,False,False
167,Ensemble_rcp85,False,False,False,False
168,NONE,True,True,True,True
168,Ensemble_rcp45,True,True,True,True
168,Ensemble_rcp85,True,False,True,False
169,NONE,False,False,False,False
169,Ensemble_rcp45,False,False,False,False
169,Ensemble_rcp85,False,False,False,False
170,NONE,True,True,True,True
170,Ensemble_rcp45,True,True,True,True
170,Ensemble_rcp85,True,False,True,False
171,NONE,False,False,False,False
171,Ensemble_rcp45,False,False,False,False
171,Ensemble_rcp85,False,False,False,False
172,NONE,True,True,True,True
172,Ensemble_rcp45,True,True,True,True
172,Ensemble_rcp85,True,True,True,True
173,NONE,False,False,False,False
173,Ensemble_rcp45,False,False,False,False
173,Ensemble_rcp85,False,False,False,False
174,NONE,True,False,True,False
174,Ensemble_rcp45,True,False,True,False
174,Ensemble_rcp85,True,False,True,False
175,NONE,False,False,False,False
175,Ensemble_rcp45,False,False,False,False
175,Ensemble_rcp85,False,False,False,False
176,NONE,False,False,False,False
176,Ensemble_rcp45,False,False,False,False
176,Ensemble_rcp85,False,False,False,False
177,NONE,False,False,False,False
177,Ensemble_rcp45,False,False,False,False
177,Ensemble_rcp85,False,False,False,False
178,NONE,False,False,False,False
178,Ensemble_rcp45,False,False,False,False
178,Ensemble_rcp85,False,False,False,False
179,NONE,False,False,False,False
179,Ensemble_rcp45,False,False,False,False
179,Ensemble_rcp85,False,False,False,False
180,NONE,False,False,False,False
180,Ensemble_rcp45,False,False,False,False
180,Ensemble_rcp85,False,False,False,False
181,NONE,True,True,True,True
181,Ensemble_rcp45,True,True,True,True
181,Ensemble_rcp85,True,True,True,True
182,NONE,False,False,False,False
182,Ensemble_rcp45,False,False,False,False
182,Ensemble_rcp85,False,False,False,False
183,NONE,False,False,False,False
183,Ensemble_rcp45,False,False,False,False
183,Ensemble_rcp85,False,False,False,False
184,NONE,True,True,True,True
184,Ensemble_rcp45,True,True,True,True
184,Ensemble_rcp85,True,True,True,True
185,NONE,False,False,False,False
185,Ensemble_rcp45,False,False,False,False
185,Ensemble_rcp85,False,False,False,False
186,NONE,True,True,True,True
186,Ensemble_rcp45,False,False,False,False
186,Ensemble_rcp85,False,False,False,False
187,NONE,False,False,False,False
187,Ensemble_rcp45,False,False,False,False
187,Ensemble_rcp85,False,False,False,False
188,NONE,True,True,True,True
188,Ensemble_rcp45,True,True,True,True
188,Ensemble_rcp85,True,True,True,True
189,NONE,False,False,False,False
189,Ensemble_rcp45,False,False,False,False
189,Ensemble_rcp85,False,False,False,False
190,NONE,False,False,False,False
190,Ensemble_rcp45,False,False,False,False
190,Ensemble_rcp85,False,False,False,False
191,NONE,True,False,True,False
191,Ensemble_rcp45,False,False,False,False
191,Ensemble_rcp85,False,False,False,False
192,NONE,True,True,True,True
192,Ensemble_rcp45,True,True,True,True
192,Ensemble_rcp85,True,True,True,True
193,NONE,False,False,False,False
193,Ensemble_rcp45,False,False,False,False
193,Ensemble_rcp85,False,False,False,False
194,NONE,False,False,False,False
194,Ensemble_rcp45,False,False,False,False
194,Ensemble_rcp85,False,False,False,False
195,NONE,True,True,True,True
195,Ensemble_rcp45,True,True,True,True
195,Ensemble_rcp85,True,True,True,True
196,NONE,False,False,False,False
196,Ensemble_rcp45,False,False,False,False
196,Ensemble_rcp85,False,False,False,False
197,NONE,False,False,False,False
197,Ensemble_rcp45,False,False,False,False
197,Ensemble_rcp85,False,False,False,False
198,NONE,True,True,True,True
198,Ensemble_rcp45,True,True,True,True
198,Ensemble_rcp85,True,True,True,True
199,NONE,True,True,True,True
199,Ensemble_rcp45,True,True,True,True
199,Ensemble_rcp85,True,True,True,True
200,NONE,True,True,True,True
200,Ensemble_rcp45,True,True,True,True
200,Ensemble_rcp85,True,True,True,True
201,NONE,True,True,True,True
201,Ensemble_rcp45,True,True,True,True
201,Ensemble_rcp85,True,True,True,True
202,NONE,False,False,False,False
202,Ensemble_rcp45,False,False,False,False
202,Ensemble_rcp85,False,False,False,False
203,NONE,False,False,False,False
203,Ensemble_rcp45,False,False,False,False
203,Ensemble_rcp85,False,False,False,False
204,NONE,True,True,True,True
204,Ensemble_rcp45,True,True,True,True
204,Ensemble_rcp85,True,True,True,True
205,NONE,True,True,True,True
205,Ensemble_rcp45,True,True,True,True
205,Ensemble_rcp85,True,True,True,True
206,NONE,True,True,True,True
206,Ensemble_rcp45,True,True,True,True
206,Ensemble_rcp85,True,True,True,True
207,NONE,False,False,False,False
207,Ensemble_rcp45,False,False,False,False
207,Ensemble_rcp85,False,False,False,False
208,NONE,True,True,True,True
208,Ensemble_rcp45,True,True,True,True
208,Ensemble_rcp85,True,True,True,True
209,NONE,False,False,False,False
209,Ensemble_rcp45,False,False,False,False
209,Ensemble_rcp85,False,False,False,False
210,NONE,True,True,True,True
210,Ensemble_rcp45,True,True,True,True
210,Ensemble_rcp85,True,True,True,True
211,NONE,False,False,False,False
211,Ensemble_rcp45,False,False,False,False
211,Ensemble_rcp85,False,False,False,False
212,NONE,False,False,False,False
212,Ensemble_rcp45,False,False,False,False
212,Ensemble_rcp85,False,False,False,False
213,NONE,True,True,True,True
213,Ensemble_rcp45,True,True,True,True
213,Ensemble_rcp85,True,True,True,True
214,NONE,False,False,False,False
214,Ensemble_rcp45,False,False,False,False
214,Ensemble_rcp85,False,False,False,False
215,NONE,True,True,True,True
215,Ensemble_rcp45,True,True,True,True
215,Ensemble_rcp85,True,True,True,True
216,NONE,False,False,False,False
216,Ensemble_rcp45,False,False,False,False
216,Ensemble_rcp85,False,False,False,False
217,NONE,True,True,True,True
217,Ensemble_rcp45,True,False,True,False
217,Ensemble_rcp85,True,False,True,False
218,NONE,False,False,False,False
218,Ensemble_rcp45,False,False,False,False
218,Ensemble_rcp85,False,False,False,False
219,NONE,True,True,True,True
219,Ensemble_rcp45,False,False,False,False
219,Ensemble_rcp85,False,False,False,False
220,NONE,True,True,True,True
220,Ensemble_rcp45,True,True,True,True
220,Ensemble_rcp85,True,True,True,True
221,NONE,True,True,True,True
