FID,Field1,Field2,Field3,Field4,Longitude,Latitude
1854,Stand_293_GNN_9024,-2019560.000000000000000,2611200.000000000000000,1676.099853519999900,-121.590394733000000,44.029712321600002
1855,Stand_142_GNN_24240,-2019660.000000000000000,2608380.000000000000000,1797.888671879999900,-121.582212656000000,44.005096237700002
1856,Stand_4_GNN_94201,-2026565.000000000000000,2613940.000000000000000,2000.353495280000100,-121.684062896000000,44.036653352899997
1857,Stand_4_GNN_94203,-2026238.048780000100000,2613714.878049999900000,2012.816840940000000,-121.679365641999990,44.035490502000002
1858,Stand_85_GNN_9023,-2024947.500000000000000,2612835.000000000000000,2082.788635250000000,-121.660855252000000,44.030974310500000
1859,Stand_178_GNN_14525,-2026155.000000000000000,2616247.500000000000000,2099.808105470000100,-121.686830071000000,44.057577726799998
1860,Stand_214_GNN_24981,-2021325.000000000000000,2608560.000000000000000,1903.858123779999900,-121.602896692000000,44.002679769600000
1861,Stand_166_GNN_29387,-2017785.000000000000000,2610405.000000000000000,1674.305358890000000,-121.566328064999990,44.027072386000000
1862,Stand_57_GNN_137526,-2019138.000000000000000,2612718.000000000000000,1769.599829100000100,-121.590357797000000,44.043841847800003
1863,Stand_26_GNN_25088,-2024055.000000000000000,2611490.000000000000000,2133.871948250000100,-121.645597557000000,44.021483865500002
1864,Stand_142_GNN_127780,-2019760.000000000000000,2608380.000000000000000,1794.436808270000000,-121.583419000000010,44.004857742399999
1865,Stand_19_GNN_2642,-2023515.000000000000000,2612910.000000000000000,1983.983154300000000,-121.643821136000000,44.035048234400001
1866,Stand_20_GNN_78828,-2023738.636359999900000,2612166.818179999900000,2034.494728780000100,-121.644039305000010,44.028090049200003
1867,Stand_116_GNN_12601,-2021430.000000000000000,2612160.000000000000000,1862.577514650000000,-121.616159723000000,44.033547309799999
1868,Stand_164_GNN_137213,-2023485.000000000000000,2610306.000000000000000,2108.093139650000000,-121.634771353000000,44.012612791099997
1869,Stand_119_GNN_130578,-2019630.000000000000000,2612460.000000000000000,1812.399780270000100,-121.595436589000000,44.040437563700003
1870,Stand_214_GNN_149639,-2021460.000000000000000,2608500.000000000000000,1935.455322269999900,-121.604325247000010,44.001838917400001
1871,Stand_98_GNN_24240,-2021530.000000000000000,2608740.000000000000000,1925.326931419999900,-121.605969040999990,44.003746341999999
1872,Stand_165_GNN_84291,-2019030.000000000000000,2611680.000000000000000,1678.366455079999900,-121.585597148999990,44.035126134999999
1873,Stand_8_GNN_24782,-2025660.000000000000000,2612523.750000000000000,1958.796981810000000,-121.668411899000010,44.026579596799998
1874,Stand_246_GNN_89425,-2021100.000000000000000,2612370.000000000000000,1851.233154300000000,-121.612877492000000,44.036150603899998
1875,Stand_95_GNN_133889,-2024383.448279999900000,2607815.172410000100000,1973.609349740000000,-121.637300972000010,43.988937496500000
1876,Stand_123_GNN_23423,-2021580.000000000000000,2613900.000000000000000,1933.559041340000000,-121.623772419000010,44.048229719699997
1877,Stand_95_GNN_137506,-2024461.285710000000000,2608400.714290000000000,2105.342846099999900,-121.640192217000010,43.993812169400002
1878,Stand_168_GNN_8534,-2018940.000000000000000,2613180.000000000000000,1667.933105470000100,-121.589506841000000,44.048308184500002
1879,Stand_25_GNN_137417,-2022060.000000000000000,2613300.000000000000000,1914.521972660000100,-121.627564167000000,44.041896582699998
1880,Stand_145_GNN_137363,-2025870.000000000000000,2610390.000000000000000,1927.060852050000000,-121.663819575000010,44.007636197399997
1881,Stand_12_GNN_14291,-2019690.000000000000000,2608410.000000000000000,1793.933105470000100,-121.582674407000000,44.005284022500000
1882,Stand_70_GNN_94106,-2018175.000000000000000,2613630.000000000000000,1845.322021480000100,-121.581771012999990,44.054023332400000
1883,Stand_5_GNN_14012,-2026590.000000000000000,2611695.000000000000000,1904.533142090000000,-121.676862330000010,44.017191509400000
1884,Stand_14_GNN_87655,-2027832.857140000000000,2612438.571430000000000,1885.253749300000000,-121.694339049000010,44.020641636400001
1885,Stand_96_GNN_83057,-2023770.000000000000000,2607840.000000000000000,1999.610839839999900,-121.629986194000000,43.990617916100000
1886,Stand_143_GNN_25253,-2021445.000000000000000,2609115.000000000000000,1917.755371100000000,-121.606192921000000,44.007190677300002
1887,Stand_2_GNN_24422,-2017860.000000000000000,2610120.000000000000000,1559.866455079999900,-121.566284899000000,44.024429748300001
1888,Stand_256_GNN_21437,-2023960.000000000000000,2612580.000000000000000,2031.103515629999900,-121.648089176000000,44.031132032199999
1889,Stand_100_GNN_84334,-2021500.714290000000000,2607036.428570000000000,1924.291059220000100,-121.599942265000000,43.989090990999998
1890,Stand_95_GNN_9057,-2023920.000000000000000,2607690.000000000000000,1986.877563479999900,-121.631295019000010,43.988963089499997
1891,Stand_193_GNN_136333,-2021197.500000000000000,2612640.000000000000000,1878.194244380000100,-121.614954248000000,44.038251704200000
1892,Stand_136_GNN_9123,-2017680.000000000000000,2611980.000000000000000,1672.649841310000100,-121.570302141000000,44.040938954200001
1893,Stand_97_GNN_14451,-2022292.758620000000000,2608560.000000000000000,1967.439242660000000,-121.614569719000000,44.000369445099999
1894,Stand_189_GNN_25253,-2023236.666669999900000,2611260.000000000000000,2022.180013019999900,-121.634957539000000,44.021451947599999
1895,Stand_173_GNN_84328,-2025220.000000000000000,2611970.000000000000000,2020.473836260000100,-121.661254394000000,44.022846419799997
1896,Stand_58_GNN_25172,-2020140.000000000000000,2612010.000000000000000,1830.022033700000100,-121.600092359000000,44.035330406000000
1897,Stand_6_GNN_24240,-2018680.500000000000000,2608053.500000000000000,1764.540541590000000,-121.569309915999990,44.004609215800002
1898,Stand_247_GNN_78787,-2024220.000000000000000,2612460.000000000000000,2074.844238279999900,-121.650825674999990,44.029473159799998
1899,Stand_205_GNN_14451,-2020495.714290000000000,2608577.142860000000000,1823.941057479999900,-121.592950361000010,44.004806894600001
1900,Stand_126_GNN_25119,-2024400.000000000000000,2611260.000000000000000,2071.155273440000200,-121.648992036000000,44.018671111600000
1901,Stand_111_GNN_137492,-2020668.000000000000000,2610000.000000000000000,1792.007210280000000,-121.599767287000010,44.016695185700002
1902,Stand_136_GNN_29454,-2017575.000000000000000,2611627.500000000000000,1607.502594000000000,-121.567861597000000,44.038141782300002
1903,Stand_37_GNN_13091,-2020413.272730000100000,2607801.818179999900000,1849.699993340000000,-121.589374740000000,43.998301564800002
1904,Stand_217_GNN_13272,-2019090.000000000000000,2610510.000000000000000,1673.521972660000100,-121.582425556000000,44.024868618799999
1905,Stand_257_GNN_145522,-2022652.500000000000000,2612737.500000000000000,1933.569213870000100,-121.632837863000010,44.035618726199999
1906,Stand_16_GNN_14234,-2018586.428570000000000,2612406.428570000000000,1677.832336429999900,-121.582662572000000,44.042464083200002
1907,Stand_68_GNN_20484,-2018180.000000000000000,2612270.000000000000000,1639.899820959999900,-121.577302644000000,44.042253923200001
1908,Stand_8_GNN_24439,-2025450.000000000000000,2612610.000000000000000,1973.583129879999900,-121.666166452000000,44.027827500599997
1909,Stand_244_GNN_24218,-2021082.857140000000000,2614808.571430000000000,1895.166451590000000,-121.620802276000010,44.057271162900001
1910,Stand_71_GNN_141226,-2018850.000000000000000,2613930.000000000000000,1828.288696290000000,-121.590919015000000,44.055006661100002
1911,Stand_162_GNN_94106,-2020260.000000000000000,2614036.153849999900000,1846.282714839999900,-121.608293621000000,44.052559083299997
1912,Stand_41_GNN_14452,-2019926.250000000000000,2610660.000000000000000,1694.291458129999900,-121.593015834000000,44.024170444200003
1913,Stand_39_GNN_141226,-2020320.000000000000000,2606862.857140000000000,1872.380737310000100,-121.585124601000000,43.990407564999998
1914,Stand_102_GNN_149321,-2020545.000000000000000,2607090.000000000000000,1905.677551270000100,-121.588594242000000,43.991834320400002
1915,Stand_122_GNN_13091,-2020770.000000000000000,2613420.000000000000000,1842.822021480000100,-121.612395284000000,44.046015060899997
1916,Stand_134_GNN_129875,-2019360.000000000000000,2611260.000000000000000,1686.822021480000100,-121.588181014000000,44.030708132999997
1917,Stand_73_GNN_2946,-2019772.500000000000000,2614342.500000000000000,1849.488677979999900,-121.603430046000000,44.056371138800003
1918,Stand_19_GNN_78828,-2023791.428570000000000,2613072.857140000000000,2014.256103519999900,-121.647700270000000,44.035794971700000
1919,Stand_296_GNN_24402,-2019255.000000000000000,2611440.000000000000000,1669.883178710000000,-121.587513311000000,44.032514663999997
1920,Stand_18_GNN_25088,-2024896.666669999900000,2612164.444440000200000,2039.184543190000100,-121.658002896000000,44.025300384700003
1921,Stand_11_GNN_133889,-2019120.000000000000000,2609085.000000000000000,1775.971984860000000,-121.578044289999990,44.012478384700003
1922,Stand_160_GNN_140868,-2026020.000000000000000,2612880.000000000000000,2005.266479489999900,-121.673945152000000,44.028796994899999
1923,Stand_20_GNN_14345,-2022960.000000000000000,2611837.500000000000000,1963.688659670000100,-121.633545921000010,44.027104686000001
1924,Stand_81_GNN_137471,-2021100.000000000000000,2609760.000000000000000,1897.722045900000000,-121.604179698000000,44.013589531299999
1925,Stand_209_GNN_94203,-2027294.117649999900000,2612876.470590000000000,1922.959925030000000,-121.689304210000000,44.025716200399998
1926,Stand_160_GNN_24481,-2026395.000000000000000,2613060.000000000000000,1990.733093260000000,-121.679070752000000,44.029455041100000
1927,Stand_131_GNN_89296,-2018115.000000000000000,2607840.000000000000000,1748.488708500000000,-121.561777654000000,44.004111346700000
1928,Stand_116_GNN_84334,-2021330.000000000000000,2612070.000000000000000,1857.355346679999900,-121.614652952000000,44.033008149399997
1929,Stand_261_GNN_21148,-2023150.000000000000000,2613860.000000000000000,2031.533121750000000,-121.642587246000010,44.044132097800002
1930,Stand_185_GNN_129921,-2025608.076919999900000,2611495.384620000100000,1943.263878459999900,-121.664351088000000,44.017816090200000
1931,Stand_53_GNN_12802,-2018295.000000000000000,2610300.000000000000000,1644.566467280000100,-121.572133170000000,44.024948905700001
1932,Stand_12_GNN_24203,-2019810.000000000000000,2608290.000000000000000,1807.655395510000100,-121.583722617000010,44.003960497900003
1933,Stand_49_GNN_81141,-2020027.297300000000000,2608969.459460000000000,1798.596491629999900,-121.588605763000000,44.009315667899997
1934,Stand_48_GNN_85910,-2020336.901409999900000,2609381.197180000100000,1792.269582830000000,-121.593711797000000,44.012136212800002
1935,Stand_67_GNN_81101,-2018805.000000000000000,2612932.500000000000000,1715.913696290000000,-121.587052860000000,44.046490614900002
1936,Stand_7_GNN_81114,-2026910.769230000000000,2611497.692309999800000,1878.826284550000100,-121.680072266000000,44.014718514499997
1937,Stand_289_GNN_137268,-2018496.000000000000000,2611860.000000000000000,1739.979809570000000,-121.579751642000010,44.037955859299998
1938,Stand_2_GNN_20529,-2018600.000000000000000,2611160.000000000000000,1660.673868820000100,-121.578676325999990,44.031656349199999
1939,Stand_118_GNN_141180,-2021535.000000000000000,2612482.500000000000000,1870.874786379999900,-121.618502057000000,44.036084246999998
1940,Stand_15_GNN_13239,-2017965.000000000000000,2613472.500000000000000,-1117.827941889999900,-121.578711340000000,44.053162538499997
1941,Stand_158_GNN_135147,-2020230.000000000000000,2614230.000000000000000,1858.288696290000000,-121.608577745999990,44.054306425800000
1942,Stand_278_GNN_105634,-2017620.000000000000000,2611140.000000000000000,1544.766479489999900,-121.566782421000000,44.033819927400003
1943,Stand_58_GNN_130409,-2019900.000000000000000,2612250.000000000000000,1771.810913090000000,-121.597995569000010,44.037977870399999
1944,Stand_214_GNN_24218,-2021385.000000000000000,2608560.000000000000000,1918.855346679999900,-121.603620430000010,44.002536561500001
1945,Stand_144_GNN_137268,-2018775.681820000100000,2611804.090909999800000,1730.094754310000100,-121.582941030000000,44.036805493599999
1946,Stand_196_GNN_25253,-2023005.000000000000000,2614095.000000000000000,2029.933105460000000,-121.641621684000000,44.046509968700001
1947,Stand_115_GNN_14451,-2020230.000000000000000,2611570.000000000000000,1764.447916670000000,-121.599712471999990,44.031312051400000
1948,Stand_115_GNN_14452,-2020297.307689999900000,2611079.230769999800000,1722.482137040000000,-121.598889673000000,44.026909015599998
1949,Stand_84_GNN_133151,-2024950.000000000000000,2612300.000000000000000,2007.781250000000000,-121.659098940000010,44.026344400699998
1950,Stand_128_GNN_24382,-2022900.000000000000000,2611230.000000000000000,1989.588623050000000,-121.630795710000000,44.021997138099998
1951,Stand_147_GNN_13334,-2018268.000000000000000,2607318.000000000000000,1733.448681639999900,-121.561887510999990,43.999234120300002
1952,Stand_259_GNN_149299,-2020965.000000000000000,2613135.000000000000000,1836.341430660000000,-121.613798617000000,44.043085794900001
1953,Stand_0_GNN_141226,-2020740.000000000000000,2615040.000000000000000,1887.310913090000000,-121.617435340000000,44.060090638500000
1954,Stand_145_GNN_21209,-2026020.000000000000000,2609895.000000000000000,1933.491455079999900,-121.663976086999990,44.002999375800002
1955,Stand_49_GNN_13239,-2019795.000000000000000,2609122.500000000000000,1782.341461179999900,-121.586312767000000,44.011192729199998
1956,Stand_278_GNN_84049,-2017650.000000000000000,2611140.000000000000000,1545.388793950000000,-121.567144494000000,44.033748418099997
1957,Stand_184_GNN_8663,-2018970.000000000000000,2612040.000000000000000,1716.677612300000000,-121.586071878000000,44.038381406699997
1958,Stand_65_GNN_14528,-2017944.000000000000000,2613060.000000000000000,1805.504248049999900,-121.577084248000010,44.049646428899997
1959,Stand_79_GNN_13239,-2021670.000000000000000,2608500.000000000000000,1924.277587889999900,-121.606858276000000,44.001337645500001
1960,Stand_18_GNN_21148,-2025233.639999999900000,2611760.279999999800000,1997.940081049999900,-121.660718687000000,44.021001239699999
1961,Stand_73_GNN_24218,-2020090.000000000000000,2614550.000000000000000,1869.525716150000100,-121.607954597000000,44.057406954400001
