stand,climateScenario,none,first,second,both
36.0,Ensemble_rcp85,-131.26634026729062,-187.62574506464605,-113.61482556923171,-37.72227252732377
37.0,NONE,-885.2595526331324,-629.4598792166631,-638.8238940126197,-476.84444576333107
37.0,Ensemble_rcp45,-799.3627246009917,-826.1041899317524,-531.5879168781546,-338.81526612677794
37.0,Ensemble_rcp85,-811.0677430959375,-866.9817160602557,-701.0405692434471,-360.0643766252949
38.0,NONE,-3.8210367464047064,-0.34736697694588237,-0.34736697694588237,-0.34736697694588237
38.0,Ensemble_rcp45,-0.6947339538917647,-1.3026261635470588,-0.6947339538917647,-0.6947339538917647
38.0,Ensemble_rcp85,-0.6947339538917647,-3.734195002168235,-0.6947339538917647,-0.6947339538917647
39.0,NONE,-319.1663685489039,-241.68920445733673,-230.63387825865598,-202.14169610433265
39.0,Ensemble_rcp45,-272.96768833653095,-304.1562915149228,-164.30192106657182,-137.60735292829398
39.0,Ensemble_rcp85,-311.7062703823145,-308.11104235022316,-262.54152704346626,-150.01088963900892
40.0,NONE,-98.7910551415944,-64.8698786858965,-75.36096418765874,-58.22552453478041
40.0,Ensemble_rcp45,-90.31076102766993,-98.0916494414769,-62.94651301057341,-52.45542750881119
40.0,Ensemble_rcp85,-99.66531226674125,-98.44135229153565,-71.16452998695384,-73.52502422485034
41.0,NONE,-50.2846707348169,-36.183678412355015,-37.07053327540293,-45.31828350174856
41.0,Ensemble_rcp45,-56.226598317237936,-34.67602514517356,-22.171371576197924,-39.19898494671793
41.0,Ensemble_rcp85,-58.88716290638169,-35.03076709039272,-21.550573172064382,-28.290670131228552
42.0,NONE,-176.11461567359999,-154.7241765229603,-163.6368595023935,-113.72583481756759
42.0,Ensemble_rcp45,-174.59945956709635,-171.4800205242947,-141.53340571339916,-35.82898557732147
42.0,Ensemble_rcp85,-174.68858639689066,-171.4800205242947,-134.9380203086186,-147.9505374585911
43.0,NONE,-93.98748441624272,-66.1488001733882,-87.77273227640057,-95.4347554625073
43.0,Ensemble_rcp45,-82.40931604612585,-41.03439084114944,-66.82986890104213,-68.36227353826348
43.0,Ensemble_rcp85,-83.43091913760675,-41.46005879593315,-73.30002181375451,-65.46773144573427
44.0,NONE,-169.72844727897402,-149.73425846338804,-163.2414437965839,-223.84605167315993
44.0,Ensemble_rcp45,-195.85418733133966,-141.55885681434847,-102.72569898141045,-167.24028155970106
44.0,Ensemble_rcp85,-197.54258549798917,-144.6690639634396,-103.08115122702085,-144.93565314764743
45.0,NONE,-118.17492943350628,-91.22746446419916,-100.44869001848032,-122.56172605641675
45.0,Ensemble_rcp45,-27.12651789269121,-26.320779737462757,-23.276880039933054,-29.543732358376566
45.0,Ensemble_rcp85,-15.309024949340586,-11.101281249814225,-13.69754863888368,-24.172144656853554
46.0,NONE,-152.41774042407167,-143.82835654738446,-147.86010816297232,-188.0899775445991
46.0,Ensemble_rcp45,-44.524561319970324,-21.473459691717974,-53.902766164924714,-9.11526452219865
46.0,Ensemble_rcp85,-4.908219358106967,15.951712913847643,19.63287743242786,-1.0517612910229213
47.0,NONE,-224.1688947606869,-153.33553517180778,-199.73731127314554,-224.62470788545448
